X,A,B,C,Y
P3,-2.197410456894729,0.08948871999500707,'L1',4.750276955095149
P2,-1.9706337839266364,0.022742149956316293,'L1',7.961269414428865
P3,-0.9373256897584112,0.1584935407896163,'L1',8.553187014079601
P10,2.0724600583248787,0.15238368015414358,'L3',15.040669129987101
P11,1.7652543396698976,0.03734677675996967,'L3',12.645459982526447
P16,-1.665247233309394,0.18779097406086798,'L2',7.2271515074674255
P11,1.093701357985378,0.037808786616031764,'L3',10.365631404907345
P15,0.9732697386592526,0.1804587156976484,'L2',13.107505315259882
P14,0.39013207552414797,0.24239393406707474,'L2',12.83379502274532
P13,2.777870485521014,0.15780016417129294,'L2',14.159146327591905
P7,-0.7213899367954271,0.14950831778018703,'L2',8.109445629197934
P11,3.0924195111713795,0.237067046569279,'L3',14.406420318822565
P3,-2.189455445001116,0.10820070175269225,'L1',7.379413127785583
P11,2.3900194290514856,0.11089410120759563,'L3',13.029844751274458
P9,0.46701909297576394,0.2064931146912198,'L3',9.362460561336428
P1,2.652158944607793,0.05148458359194344,'L1',14.583585590458416
P7,0.7291757947008763,0.05194454965754275,'L2',10.138989436568544
P2,-1.1098842381355403,0.004868820964338938,'L1',8.421692806275098
P8,-0.05855537271623465,0.24762373016622205,'L2',11.11270265775482
