Category,X,Y,W,Z
High,-1.1035019505206711,0.8400780535679664,-0.9938222809352911,3.139405298572157
Low,1.2896063680187368,-0.8670072909906318,0.13760529120344367,1.2924541366637678
Mid,-1.5373527479505817,0.608487051745058,0.9732756772555657,-0.6667195169492199
Mid,-0.806578082191939,1.8741808479479507,-0.7033812293023372,4.184566889235745
Low,0.5531870722428232,-2.497945817933384,-0.7133731048869166,7.630623824644165
Low,0.709173056909477,0.09448748235614379,0.39278342029060515,0.669495281266552
Low,0.1883359358355321,0.21903870838093573,-1.45249487867414,-1.5895758382945546
Low,-1.9694348121877852,1.520213411497383,0.3612742624306599,3.312810476709891
High,-1.732986045504557,0.2295044984941477,0.1505445134113773,0.633849812627427
Mid,1.2136679336408438,0.8399317834814115,0.2713050260062471,1.6241370127364632
High,0.7877940401592136,1.9302297850822112,1.1994031466858168,3.6237840505286805
Mid,-1.4283380093606777,1.424147366792633,-0.8054283573486993,1.4380529791052437
Low,-1.3153362543403673,-0.2535014969315464,0.008631657174799696,2.0050236566597777
Low,-1.380025328162422,1.4157116036853623,-0.68096929527559,2.830110213080258
Mid,1.3130079927712965,1.4343127382490453,0.4443913743677685,2.357047055062564
Mid,-1.259798198924916,-1.2518871142382582,-0.22390799796008004,1.5876547638669416
High,-0.19611449779234214,-0.8296625235983661,-0.14254694768270973,0.08435092444425984
Mid,-1.4469582601809727,1.636393986153795,-0.17052994870761193,4.077212309707992
Low,-1.8698052389016202,0.7094550109088331,0.07690630712557961,-0.4883758580618953
High,1.2260608274176996,2.253247123817106,0.9626267276494642,2.3758092097698373
Low,-0.8489433326753302,-0.3198284691665966,0.3472013898534346,1.1770701170770081
High,-1.2733280911957952,0.49466784659423607,-0.15383073389072027,1.0500799184114227
High,0.8342935156937701,-0.8883229090944171,-0.4996800149343728,1.0049831490709882
Mid,1.1070088740327284,-0.9715567145152285,2.6139123521802117,-0.54139005298083
High,0.05905177865912048,-1.2603471970929823,-0.2631285185354064,2.217851898851917
High,1.102577511694157,0.03428877388218147,0.32242781317750263,0.46508855496317275
Mid,-0.9692829353395584,-0.32563262582754315,-1.0187643093759926,0.3902859969232188
Mid,-1.769178959363499,-0.7357700574081267,0.038926940484450175,0.06498235088944354
High,0.15081437953875776,-0.6124749631332056,0.7067382275542391,0.5598405337619834
Low,-1.031856724511658,-1.0334170245392487,1.3048524014010652,1.9855525212776428
Mid,1.0434186036838415,0.40718967163064745,-0.6275833657532627,-0.8187975190223178
Mid,1.287940131680139,0.23724073401781418,1.2873093958508843,-0.4517130743269475
Mid,-1.8454669290806573,2.2611244481341104,0.22580780541090065,2.415215155335161
Low,1.229430589996777,0.5855843532736411,2.686905506388492,1.5273582253820868
High,-1.1047392098887991,0.5166280101701926,0.8313545866018346,1.336536429436095
High,0.5574940665113126,-0.823841011048087,-0.9740492037579133,0.8372014181062304
High,0.3827283052906827,0.14326377944990165,1.4486264570923575,-0.7182098368564208
Low,-0.6696304032054532,1.883165511346209,-0.5383850931688472,2.404716805617465
Low,0.38103525128740845,-0.6008372494590662,0.013884608298784861,-0.8309713024657553
High,-1.7975596100845195,0.8740137181852454,-0.041717063848522536,0.259344903627977
High,0.47581444349449686,1.055059457011061,-0.18942311669480222,0.670070089444504
Mid,1.1292591056041008,0.31476061579599296,0.338787795585456,0.201260102807413
Low,-0.6443944751671049,1.3986699144030617,0.3387614494610336,3.383982052708987
Low,-0.8710367920939959,-0.45371156294030157,-0.18431401949145687,0.009612132701443772
Low,0.563645135338477,2.1139241940009215,-0.11101094290084018,2.258178303945402
Low,0.23010351632074633,1.4770063306171117,-1.1029138769629339,3.0395242756421643
Low,1.978940520436117,-0.37876079152416825,-0.8363732551355777,-1.142709449416575
Mid,-0.6417005384623917,-0.7928577932125308,1.2129571118904154,-0.37809935551630414
High,-0.011398679454118987,-0.1849455882275387,1.1278221095392575,0.21775780608134293
High,-0.9767127889997198,-0.9154437545800937,0.27134346816314114,1.371051176865862
High,0.29028330766978305,1.1248203987104004,0.2203947362012547,2.580707015214867
Low,0.6525149147718428,0.2497215330989708,0.5275176430277317,1.6310743452574226
Low,-0.2866826905818236,0.7000478536271169,-0.7285534962902157,-1.0876084408854017
High,-1.9709020850810428,-0.707042007999476,1.274404193490109,1.2309714109773668
High,0.7667597601669693,0.5625537139115387,-1.0987114559906526,-0.3215788714260105
Low,-1.7650153622948372,-1.533662407941809,-1.7773575941715891,0.6498901202597138
Mid,-0.46015602021800284,-0.260379307432971,-1.3749611602914957,0.12951882002938703
High,1.0868848339728192,-0.5472812273981215,0.34428607603479683,0.9946234365795739
Low,-1.1817940981115131,-0.2558753564923378,0.49515675315191376,-0.5573799814206603
Low,0.18516433253490927,-3.319928283786252,0.48194926965187956,14.999543743100405
Mid,0.40259955208024634,2.07318980222208,-0.5690587135519508,3.267969933481945
Low,0.10707670647427348,1.761303717733925,1.0280905557083293,1.848850888819001
Low,-1.7202793555248048,0.584957666721191,-0.10242632254479501,0.24065783210512964
Low,-1.3812618490840403,-0.28925737176866356,-0.31956099670178917,0.5028263588555547
Low,-0.36675757910697193,0.6736249124191546,1.1048307345593653,0.3746724273958314
Mid,-0.3794087653611733,-1.288593481670303,-1.5447931071560326,0.958127532661751
Mid,-1.1965849924579812,0.5955833739733423,1.5790897202413576,1.4600928258246892
Low,0.8431620826849051,0.9980912385072508,1.417912584999133,1.3733391897996226
High,-0.6499007422997227,0.5997002310391618,0.10102065884507834,0.5827965728291519
Low,-0.44976236431660466,0.24592210079182683,-0.4925719173036763,1.3962700149523621
Low,-1.5545461667045042,-0.45957246209754765,1.0882180243096458,0.899223076763223
Low,-0.1882020977876624,-0.1829599505874286,-1.6799371738481925,-0.09121449356417136
Low,0.28344700382194254,-0.5022127432825051,-1.7225394440103114,-1.3555219025141325
Mid,-1.8312456269230744,0.804783423238898,-0.25153775788307126,-0.06543088175694134
Low,-0.7284038544034148,-2.081359827691495,1.0976621179061337,5.484579571837975
High,1.9855141036238284,0.2691759817945165,-0.37268892614721566,1.902749130210941
Low,-0.5496732758217129,1.6552562686765575,-0.8465033616574015,2.7187278753913366
Mid,0.8936580294061862,0.05086634225825899,0.437342498271433,-0.5989643878864579
High,1.2329311936466127,-0.4352527875511347,-1.6972679822373573,0.3546305650249354
High,-0.9289979998246545,0.6911116946414749,0.5827636193972108,1.0360000180294349
Mid,1.228752561890917,0.4817189667101261,-1.5913534871680697,0.8198426448751208
Low,0.7670108625750296,-0.5746439275957778,0.1502897216269844,1.2790950292954377
High,0.9527246556792242,-0.3479230050637634,0.7184440271403925,0.2991145399540669
High,-0.772799996236663,0.4598873673401127,-1.376050992731421,0.06992218343810691
Low,-0.9249578098010613,-0.5772318072844898,0.6223651292851777,1.0414183862126407
High,-1.759377559804057,-0.19868898009847327,-0.43350480379617956,-1.2726992504549781
Low,-0.3203058525956819,0.9969763749497155,-0.1954604095600711,1.2685927226080789
Low,-0.8067876570110144,-0.8217291834517171,0.34261278689282415,0.4914383178337123
Mid,-0.4927692452624788,-1.3428610693629535,-0.2726306917582348,0.25623830817311966
Mid,-1.7167304560209233,-0.011971350900655226,-0.8927675156659292,0.8742612219266943
Mid,0.24029263010456647,-0.021609555011549462,0.8451200442061308,1.2830144883767354
High,-1.647283906936618,1.343069395048978,0.633874246518826,-0.41391555702787586
High,-0.1660052207942453,0.3844162390861409,0.805468097756794,0.5490174674444281
Low,0.6727453284172915,0.06765095367113576,0.9444317118357096,0.3152455012330396
High,-0.736478776782227,1.5290595610376885,0.5321372877884228,0.3205722868226726
Low,0.15319017123654532,1.3684577497735215,0.06154806714087433,2.090773720114526
Mid,-1.8148421269855053,0.9029429021356995,-0.7248050536361901,2.5335884043544663
Mid,-1.336937698462847,0.20013473607593601,1.110400853603881,-0.26453602861288994
High,-0.18577507538222893,0.7468488108305041,0.5116768904221224,0.5408525557761032
