P,N,O
7.0,1.5424543537479047,"(1.348, 1.598]"
7.0,-0.670828113369982,"(0.349, 0.6]"
2.0,-1.260843038038893,"(1.099, 1.348]"
7.0,-0.3202629921035895,"(1.099, 1.348]"
7.0,-1.173781623471542,"(0.849, 1.099]"
6.0,2.6882613857638944,"(1.099, 1.348]"
6.0,-3.3837031250864387,"(0.849, 1.099]"
7.0,0.4399583078581132,"(0.6, 0.849]"
10.0,2.436122527644956,"(1.099, 1.348]"
6.0,-0.2858776249991054,"(1.099, 1.348]"
8.0,-2.346469247006685,"(0.849, 1.099]"
7.0,2.0831585873420693,"(1.099, 1.348]"
6.0,-1.9689659089130285,"(0.6, 0.849]"
4.0,-2.345008902141229,"(0.6, 0.849]"
9.0,1.3128762637011624,"(0.849, 1.099]"
4.0,1.8319882544877024,"(0.6, 0.849]"
6.0,0.0566470688970174,"(0.849, 1.099]"
7.0,-0.381872634375541,"(0.349, 0.6]"
4.0,0.0747107196268395,"(1.099, 1.348]"
7.0,-0.0292986669362872,"(1.099, 1.348]"
4.0,0.033935681957005,"(0.6, 0.849]"
10.0,2.0053675275593883,"(1.099, 1.348]"
7.0,2.1560375617366017,"(1.348, 1.598]"
7.0,0.4125664447592207,"(0.849, 1.099]"
2.0,-2.457658107037897,"(0.349, 0.6]"
6.0,-0.0152285615875527,"(1.099, 1.348]"
11.0,1.814134744014872,"(0.849, 1.099]"
4.0,-0.761410274835894,"(0.849, 1.099]"
6.0,2.455454726813513,"(1.099, 1.348]"
7.0,-0.3988617068486427,"(1.099, 1.348]"
6.0,0.3017884283085085,"(0.6, 0.849]"
8.0,3.04290350696461,"(0.849, 1.099]"
5.0,0.9787575220566004,"(0.6, 0.849]"
5.0,0.0345272811763892,"(0.6, 0.849]"
9.0,0.3772867216074172,"(0.849, 1.099]"
4.0,-2.254092239243824,"(0.349, 0.6]"
4.0,-1.9531279018653271,"(0.349, 0.6]"
6.0,0.8751552608025956,"(0.6, 0.849]"
5.0,-2.128548991310667,"(0.849, 1.099]"
3.0,-1.9226649637553277,"(0.6, 0.849]"
3.0,-2.3601773652699185,"(1.099, 1.348]"
5.0,-2.74272571734795,"(0.6, 0.849]"
5.0,1.2976371894864938,"(1.099, 1.348]"
6.0,1.9349713359821143,"(1.348, 1.598]"
5.0,0.3132469479221487,"(1.099, 1.348]"
6.0,-0.2677602681116567,"(0.6, 0.849]"
3.0,-1.7193026109966656,"(0.849, 1.099]"
7.0,-0.6022153349505874,"(0.849, 1.099]"
7.0,2.80181934117314,"(0.849, 1.099]"
6.0,0.5871282548777104,"(1.099, 1.348]"
7.0,-1.3691033081207644,"(0.6, 0.849]"
8.0,1.5987069666992393,"(0.849, 1.099]"
5.0,0.342260367503792,"(0.6, 0.849]"
3.0,-1.8730974618579588,"(0.849, 1.099]"
7.0,-0.8275271309041662,"(0.849, 1.099]"
9.0,1.9746244864455225,"(0.849, 1.099]"
6.0,-1.7669028065484604,"(0.6, 0.849]"
7.0,-2.8307946184859967,"(0.6, 0.849]"
5.0,0.6479129372373539,"(0.849, 1.099]"
2.0,-2.5502218685003677,"(0.849, 1.099]"
4.0,0.0792890023309193,"(0.849, 1.099]"
6.0,-0.0355839852492454,"(0.849, 1.099]"
5.0,-1.8834793240655288,"(0.6, 0.849]"
6.0,-2.438308429429121,"(1.099, 1.348]"
