Z,X,W
-0.8591931100294184,-1.4704986224464718,"(-1.323, -0.321]"
2.073102435697167,1.6866624504419825,"(-2.331, -1.323]"
2.5861727039122653,-1.35955822664753,"(-0.321, 0.682]"
0.329533237415368,-0.81905599380821,"(-0.321, 0.682]"
3.788497873622982,-0.3199827175899861,"(-0.321, 0.682]"
3.139405298572157,-1.1035019505206711,"(-1.323, -0.321]"
1.2924541366637678,1.2896063680187368,"(-0.321, 0.682]"
-0.6667195169492199,-1.5373527479505815,"(0.682, 1.684]"
4.184566889235745,-0.806578082191939,"(-1.323, -0.321]"
7.630623824644165,0.5531870722428232,"(-1.323, -0.321]"
0.669495281266552,0.709173056909477,"(-0.321, 0.682]"
-1.5895758382945546,0.1883359358355321,"(-2.331, -1.323]"
3.312810476709891,-1.9694348121877847,"(-0.321, 0.682]"
0.633849812627427,-1.732986045504557,"(-0.321, 0.682]"
1.6241370127364632,1.2136679336408438,"(-0.321, 0.682]"
3.623784050528681,0.7877940401592136,"(0.682, 1.684]"
1.4380529791052437,-1.4283380093606777,"(-1.323, -0.321]"
2.0050236566597777,-1.3153362543403673,"(-0.321, 0.682]"
2.830110213080258,-1.380025328162422,"(-1.323, -0.321]"
2.357047055062564,1.3130079927712963,"(-0.321, 0.682]"
1.5876547638669416,-1.259798198924916,"(-0.321, 0.682]"
0.0843509244442598,-0.1961144977923421,"(-0.321, 0.682]"
4.077212309707992,-1.4469582601809727,"(-0.321, 0.682]"
-0.4883758580618953,-1.86980523890162,"(-0.321, 0.682]"
2.3758092097698373,1.2260608274176996,"(0.682, 1.684]"
1.177070117077008,-0.8489433326753302,"(-0.321, 0.682]"
1.050079918411423,-1.2733280911957952,"(-0.321, 0.682]"
1.0049831490709882,0.8342935156937701,"(-1.323, -0.321]"
-0.54139005298083,1.1070088740327284,"(1.684, 2.687]"
2.217851898851917,0.0590517786591204,"(-0.321, 0.682]"
0.4650885549631727,1.102577511694157,"(-0.321, 0.682]"
0.3902859969232188,-0.9692829353395584,"(-1.323, -0.321]"
0.0649823508894435,-1.769178959363499,"(-0.321, 0.682]"
0.5598405337619834,0.1508143795387577,"(0.682, 1.684]"
1.9855525212776428,-1.031856724511658,"(0.682, 1.684]"
-0.8187975190223178,1.0434186036838415,"(-1.323, -0.321]"
-0.4517130743269475,1.287940131680139,"(0.682, 1.684]"
2.415215155335161,-1.8454669290806571,"(-0.321, 0.682]"
1.5273582253820868,1.229430589996777,"(1.684, 2.687]"
1.336536429436095,-1.1047392098887991,"(0.682, 1.684]"
0.8372014181062304,0.5574940665113126,"(-1.323, -0.321]"
-0.7182098368564208,0.3827283052906827,"(0.682, 1.684]"
2.404716805617465,-0.6696304032054532,"(-1.323, -0.321]"
-0.8309713024657553,0.3810352512874084,"(-0.321, 0.682]"
0.259344903627977,-1.7975596100845197,"(-0.321, 0.682]"
0.670070089444504,0.4758144434944968,"(-0.321, 0.682]"
0.201260102807413,1.1292591056041008,"(-0.321, 0.682]"
3.383982052708987,-0.6443944751671049,"(-0.321, 0.682]"
0.0096121327014437,-0.8710367920939959,"(-0.321, 0.682]"
2.258178303945402,0.563645135338477,"(-0.321, 0.682]"
3.0395242756421643,0.2301035163207463,"(-1.323, -0.321]"
-1.142709449416575,1.978940520436117,"(-1.323, -0.321]"
-0.3780993555163041,-0.6417005384623917,"(0.682, 1.684]"
0.2177578060813429,-0.0113986794541189,"(0.682, 1.684]"
1.371051176865862,-0.9767127889997198,"(-0.321, 0.682]"
2.580707015214867,0.290283307669783,"(-0.321, 0.682]"
1.6310743452574226,0.6525149147718428,"(-0.321, 0.682]"
-1.0876084408854017,-0.2866826905818236,"(-1.323, -0.321]"
1.2309714109773668,-1.9709020850810428,"(0.682, 1.684]"
-0.3215788714260105,0.7667597601669693,"(-1.323, -0.321]"
0.6498901202597138,-1.7650153622948372,"(-2.331, -1.323]"
0.129518820029387,-0.4601560202180028,"(-2.331, -1.323]"
0.994623436579574,1.0868848339728192,"(-0.321, 0.682]"
-0.5573799814206603,-1.1817940981115131,"(-0.321, 0.682]"
14.999543743100404,0.1851643325349092,"(-0.321, 0.682]"
3.267969933481945,0.4025995520802463,"(-1.323, -0.321]"
1.848850888819001,0.1070767064742734,"(0.682, 1.684]"
0.2406578321051296,-1.7202793555248048,"(-0.321, 0.682]"
0.5028263588555547,-1.3812618490840405,"(-0.321, 0.682]"
0.3746724273958314,-0.3667575791069719,"(0.682, 1.684]"
0.958127532661751,-0.3794087653611733,"(-2.331, -1.323]"
1.4600928258246892,-1.1965849924579812,"(0.682, 1.684]"
1.3733391897996226,0.8431620826849051,"(0.682, 1.684]"
0.5827965728291519,-0.6499007422997227,"(-0.321, 0.682]"
1.396270014952362,-0.4497623643166046,"(-1.323, -0.321]"
0.899223076763223,-1.5545461667045042,"(0.682, 1.684]"
-0.0912144935641713,-0.1882020977876624,"(-2.331, -1.323]"
-1.3555219025141323,0.2834470038219425,"(-2.331, -1.323]"
-0.0654308817569413,-1.8312456269230744,"(-0.321, 0.682]"
5.484579571837975,-0.7284038544034148,"(0.682, 1.684]"
1.902749130210941,1.9855141036238284,"(-1.323, -0.321]"
2.7187278753913366,-0.5496732758217129,"(-1.323, -0.321]"
-0.5989643878864579,0.8936580294061862,"(-0.321, 0.682]"
0.3546305650249354,1.2329311936466127,"(-2.331, -1.323]"
1.0360000180294349,-0.9289979998246544,"(-0.321, 0.682]"
0.8198426448751208,1.228752561890917,"(-2.331, -1.323]"
1.2790950292954375,0.7670108625750296,"(-0.321, 0.682]"
0.2991145399540669,0.9527246556792242,"(0.682, 1.684]"
0.0699221834381069,-0.772799996236663,"(-2.331, -1.323]"
1.0414183862126407,-0.9249578098010612,"(-0.321, 0.682]"
-1.272699250454978,-1.759377559804057,"(-1.323, -0.321]"
1.2685927226080789,-0.3203058525956819,"(-0.321, 0.682]"
0.4914383178337123,-0.8067876570110144,"(-0.321, 0.682]"
0.2562383081731196,-0.4927692452624788,"(-0.321, 0.682]"
0.8742612219266943,-1.7167304560209231,"(-1.323, -0.321]"
1.2830144883767354,0.2402926301045664,"(0.682, 1.684]"
-0.4139155570278758,-1.647283906936618,"(-0.321, 0.682]"
0.5490174674444281,-0.1660052207942453,"(0.682, 1.684]"
0.3152455012330396,0.6727453284172915,"(0.682, 1.684]"
0.3205722868226726,-0.736478776782227,"(-0.321, 0.682]"
2.090773720114526,0.1531901712365453,"(-0.321, 0.682]"
2.5335884043544663,-1.8148421269855053,"(-1.323, -0.321]"
-0.2645360286128899,-1.336937698462847,"(0.682, 1.684]"
0.5408525557761032,-0.1857750753822289,"(-0.321, 0.682]"
