W,X,Z
0.206214271483645,-1.180672005551207,"(1.612, 4.959]"
1.158103836505382,1.5408821512230335,"(1.612, 4.959]"
-0.7302100795270109,1.659163292015541,"(1.612, 4.959]"
-0.2414890672972952,0.2490118481874326,"(-1.752, 1.612]"
-1.0019464536285982,1.330141191449841,"(-1.752, 1.612]"
-0.7386980811735416,0.8723232819364424,"(-1.752, 1.612]"
-2.3255541405906333,1.7886204095419842,"(4.959, 8.306]"
-0.3472641995834907,-1.4704986224464718,"(-1.752, 1.612]"
-1.5434716081974873,1.6866624504419825,"(1.612, 4.959]"
-0.0053072482051371,-1.35955822664753,"(1.612, 4.959]"
0.4974578051854093,-0.81905599380821,"(-1.752, 1.612]"
-0.2491361976850617,-0.3199827175899861,"(1.612, 4.959]"
-0.9938222809352912,-1.1035019505206711,"(1.612, 4.959]"
0.1376052912034436,1.2896063680187368,"(-1.752, 1.612]"
0.9732756772555656,-1.5373527479505815,"(-1.752, 1.612]"
-0.7033812293023372,-0.806578082191939,"(1.612, 4.959]"
-0.7133731048869166,0.5531870722428232,"(4.959, 8.306]"
0.3927834202906051,0.709173056909477,"(-1.752, 1.612]"
-1.45249487867414,0.1883359358355321,"(-1.752, 1.612]"
0.3612742624306599,-1.9694348121877847,"(1.612, 4.959]"
0.1505445134113773,-1.732986045504557,"(-1.752, 1.612]"
0.2713050260062471,1.2136679336408438,"(1.612, 4.959]"
1.1994031466858168,0.7877940401592136,"(1.612, 4.959]"
-0.8054283573486993,-1.4283380093606777,"(-1.752, 1.612]"
0.0086316571747996,-1.3153362543403673,"(1.612, 4.959]"
-0.68096929527559,-1.380025328162422,"(1.612, 4.959]"
0.4443913743677685,1.3130079927712963,"(1.612, 4.959]"
-0.22390799796008,-1.259798198924916,"(-1.752, 1.612]"
-0.1425469476827097,-0.1961144977923421,"(-1.752, 1.612]"
-0.1705299487076119,-1.4469582601809727,"(1.612, 4.959]"
0.0769063071255796,-1.86980523890162,"(-1.752, 1.612]"
0.9626267276494642,1.2260608274176996,"(1.612, 4.959]"
0.3472013898534346,-0.8489433326753302,"(-1.752, 1.612]"
-0.1538307338907202,-1.2733280911957952,"(-1.752, 1.612]"
-0.4996800149343728,0.8342935156937701,"(-1.752, 1.612]"
2.613912352180212,1.1070088740327284,"(-1.752, 1.612]"
-0.2631285185354064,0.0590517786591204,"(1.612, 4.959]"
0.3224278131775026,1.102577511694157,"(-1.752, 1.612]"
-1.0187643093759926,-0.9692829353395584,"(-1.752, 1.612]"
0.0389269404844501,-1.769178959363499,"(-1.752, 1.612]"
0.7067382275542391,0.1508143795387577,"(-1.752, 1.612]"
1.3048524014010652,-1.031856724511658,"(1.612, 4.959]"
-0.6275833657532627,1.0434186036838415,"(-1.752, 1.612]"
1.2873093958508843,1.287940131680139,"(-1.752, 1.612]"
0.2258078054109006,-1.8454669290806571,"(1.612, 4.959]"
2.686905506388492,1.229430589996777,"(-1.752, 1.612]"
0.8313545866018346,-1.1047392098887991,"(-1.752, 1.612]"
-0.9740492037579132,0.5574940665113126,"(-1.752, 1.612]"
1.4486264570923575,0.3827283052906827,"(-1.752, 1.612]"
-0.5383850931688472,-0.6696304032054532,"(1.612, 4.959]"
0.0138846082987848,0.3810352512874084,"(-1.752, 1.612]"
-0.0417170638485225,-1.7975596100845197,"(-1.752, 1.612]"
-0.1894231166948022,0.4758144434944968,"(-1.752, 1.612]"
0.338787795585456,1.1292591056041008,"(-1.752, 1.612]"
0.3387614494610336,-0.6443944751671049,"(1.612, 4.959]"
-0.1843140194914568,-0.8710367920939959,"(-1.752, 1.612]"
-0.1110109429008401,0.563645135338477,"(1.612, 4.959]"
-1.102913876962934,0.2301035163207463,"(1.612, 4.959]"
-0.8363732551355777,1.978940520436117,"(-1.752, 1.612]"
1.2129571118904154,-0.6417005384623917,"(-1.752, 1.612]"
1.1278221095392575,-0.0113986794541189,"(-1.752, 1.612]"
0.2713434681631411,-0.9767127889997198,"(-1.752, 1.612]"
0.2203947362012547,0.290283307669783,"(1.612, 4.959]"
0.5275176430277317,0.6525149147718428,"(1.612, 4.959]"
-0.7285534962902157,-0.2866826905818236,"(-1.752, 1.612]"
1.274404193490109,-1.9709020850810428,"(-1.752, 1.612]"
-1.0987114559906526,0.7667597601669693,"(-1.752, 1.612]"
-1.7773575941715891,-1.7650153622948372,"(-1.752, 1.612]"
-1.3749611602914955,-0.4601560202180028,"(-1.752, 1.612]"
0.3442860760347968,1.0868848339728192,"(-1.752, 1.612]"
0.4951567531519137,-1.1817940981115131,"(-1.752, 1.612]"
0.4819492696518795,0.1851643325349092,"(11.653, 15.0]"
-0.5690587135519508,0.4025995520802463,"(1.612, 4.959]"
1.0280905557083293,0.1070767064742734,"(1.612, 4.959]"
-0.102426322544795,-1.7202793555248048,"(-1.752, 1.612]"
-0.3195609967017891,-1.3812618490840405,"(-1.752, 1.612]"
1.104830734559365,-0.3667575791069719,"(-1.752, 1.612]"
-1.5447931071560326,-0.3794087653611733,"(-1.752, 1.612]"
1.5790897202413576,-1.1965849924579812,"(-1.752, 1.612]"
1.417912584999133,0.8431620826849051,"(-1.752, 1.612]"
0.1010206588450783,-0.6499007422997227,"(-1.752, 1.612]"
-0.4925719173036763,-0.4497623643166046,"(-1.752, 1.612]"
1.0882180243096458,-1.5545461667045042,"(-1.752, 1.612]"
-1.6799371738481923,-0.1882020977876624,"(-1.752, 1.612]"
-1.7225394440103114,0.2834470038219425,"(-1.752, 1.612]"
-0.2515377578830712,-1.8312456269230744,"(-1.752, 1.612]"
1.0976621179061337,-0.7284038544034148,"(4.959, 8.306]"
-0.3726889261472156,1.9855141036238284,"(1.612, 4.959]"
-0.8465033616574015,-0.5496732758217129,"(1.612, 4.959]"
0.437342498271433,0.8936580294061862,"(-1.752, 1.612]"
-1.6972679822373573,1.2329311936466127,"(-1.752, 1.612]"
0.5827636193972108,-0.9289979998246544,"(-1.752, 1.612]"
-1.5913534871680697,1.228752561890917,"(-1.752, 1.612]"
0.1502897216269844,0.7670108625750296,"(-1.752, 1.612]"
0.7184440271403925,0.9527246556792242,"(-1.752, 1.612]"
-1.376050992731421,-0.772799996236663,"(-1.752, 1.612]"
0.6223651292851777,-0.9249578098010612,"(-1.752, 1.612]"
-0.4335048037961795,-1.759377559804057,"(-1.752, 1.612]"
-0.1954604095600711,-0.3203058525956819,"(-1.752, 1.612]"
0.3426127868928241,-0.8067876570110144,"(-1.752, 1.612]"
-0.2726306917582348,-0.4927692452624788,"(-1.752, 1.612]"
-0.8927675156659292,-1.7167304560209231,"(-1.752, 1.612]"
0.8451200442061308,0.2402926301045664,"(-1.752, 1.612]"
0.633874246518826,-1.647283906936618,"(-1.752, 1.612]"
0.805468097756794,-0.1660052207942453,"(-1.752, 1.612]"
0.9444317118357096,0.6727453284172915,"(-1.752, 1.612]"
0.5321372877884228,-0.736478776782227,"(-1.752, 1.612]"
0.0615480671408743,0.1531901712365453,"(1.612, 4.959]"
-0.7248050536361901,-1.8148421269855053,"(1.612, 4.959]"
1.110400853603881,-1.336937698462847,"(-1.752, 1.612]"
0.5116768904221224,-0.1857750753822289,"(-1.752, 1.612]"
