O,N,P
1.1255239345631396,-0.2403630757995142,"(4.0, 6.0]"
1.2737323050027345,1.874858558361547,"(4.0, 6.0]"
1.12465594547768,0.5096202500991246,"(1.99, 4.0]"
1.0397295645767262,-0.0658115179101833,"(4.0, 6.0]"
0.8765577969694693,-0.2094179031517716,"(1.99, 4.0]"
1.1799311135423678,-0.5502107115900627,"(4.0, 6.0]"
1.246821465175908,1.016112942435783,"(4.0, 6.0]"
1.391164579909251,2.3226924539407303,"(6.0, 8.0]"
0.7711903110858933,-0.1788428353255324,"(4.0, 6.0]"
1.0546282787894,-2.2912094142931663,"(4.0, 6.0]"
0.821520415236066,1.6775326121713672,"(4.0, 6.0]"
1.211734315921439,2.4352375512413005,"(4.0, 6.0]"
0.5734443181625984,0.7094119548552461,"(1.99, 4.0]"
0.9177356613923866,2.2308578173935247,"(10.0, 12.0]"
1.4844246084715005,1.5424543537479047,"(6.0, 8.0]"
0.4504104838053221,-0.670828113369982,"(6.0, 8.0]"
1.1626823020530446,-1.260843038038893,"(1.99, 4.0]"
1.1094932376761042,-0.3202629921035895,"(6.0, 8.0]"
0.8909243583724371,-1.173781623471542,"(6.0, 8.0]"
1.286732361582373,2.6882613857638944,"(4.0, 6.0]"
0.9384351408421918,-3.3837031250864387,"(4.0, 6.0]"
0.8064827199241893,0.4399583078581132,"(6.0, 8.0]"
1.2192487716500626,2.436122527644956,"(8.0, 10.0]"
1.1282525531906922,-0.2858776249991054,"(4.0, 6.0]"
0.886498308391154,-2.346469247006685,"(6.0, 8.0]"
1.2933213177353229,2.0831585873420693,"(6.0, 8.0]"
0.7157928206339286,-1.9689659089130285,"(4.0, 6.0]"
0.8427369526635944,-2.345008902141229,"(1.99, 4.0]"
0.8973338303081135,1.3128762637011624,"(8.0, 10.0]"
0.7583658535361951,1.8319882544877024,"(1.99, 4.0]"
1.0075319435373893,0.0566470688970174,"(4.0, 6.0]"
0.580913925823424,-0.381872634375541,"(6.0, 8.0]"
1.290921281084258,0.0747107196268395,"(1.99, 4.0]"
1.22424119054306,-0.0292986669362872,"(6.0, 8.0]"
0.8445435774434206,0.033935681957005,"(1.99, 4.0]"
1.2025939827227587,2.0053675275593883,"(8.0, 10.0]"
1.5913286839938126,2.1560375617366017,"(6.0, 8.0]"
0.8527719730233696,0.4125664447592207,"(6.0, 8.0]"
0.5843923144248904,-2.457658107037897,"(1.99, 4.0]"
1.293218656967559,-0.0152285615875527,"(4.0, 6.0]"
0.8757276756008694,1.814134744014872,"(10.0, 12.0]"
0.9538871363206254,-0.761410274835894,"(1.99, 4.0]"
1.245974462363038,2.455454726813513,"(4.0, 6.0]"
1.152689980482771,-0.3988617068486427,"(6.0, 8.0]"
0.6213344624725743,0.3017884283085085,"(4.0, 6.0]"
0.8930568021455889,3.04290350696461,"(6.0, 8.0]"
0.7698560206247658,0.9787575220566004,"(4.0, 6.0]"
0.7834676708751163,0.0345272811763892,"(4.0, 6.0]"
0.9952650360940904,0.3772867216074172,"(8.0, 10.0]"
0.4892571224509818,-2.254092239243824,"(1.99, 4.0]"
0.3505120008376644,-1.9531279018653271,"(1.99, 4.0]"
0.7945743560265986,0.8751552608025956,"(4.0, 6.0]"
0.948477063094228,-2.128548991310667,"(4.0, 6.0]"
0.712082047620159,-1.9226649637553277,"(1.99, 4.0]"
1.254270915301599,-2.3601773652699185,"(1.99, 4.0]"
0.6210790969748512,-2.74272571734795,"(4.0, 6.0]"
1.2473405809105194,1.2976371894864938,"(4.0, 6.0]"
1.4282274813686646,1.9349713359821143,"(4.0, 6.0]"
1.2120595649083037,0.3132469479221487,"(4.0, 6.0]"
0.6098462279866229,-0.2677602681116567,"(4.0, 6.0]"
1.059457629191752,-1.7193026109966656,"(1.99, 4.0]"
0.9932051622774476,-0.6022153349505874,"(6.0, 8.0]"
0.8835642332840832,2.80181934117314,"(6.0, 8.0]"
1.19579128563074,0.5871282548777104,"(4.0, 6.0]"
0.7349178001350065,-1.3691033081207644,"(6.0, 8.0]"
0.8616055976349631,1.5987069666992393,"(6.0, 8.0]"
0.8197535268038116,0.342260367503792,"(4.0, 6.0]"
0.8757711161118578,-1.8730974618579588,"(1.99, 4.0]"
0.865805317010199,-0.8275271309041662,"(6.0, 8.0]"
0.986242764064343,1.9746244864455225,"(8.0, 10.0]"
0.7194027474951907,-1.7669028065484604,"(4.0, 6.0]"
0.6337052126039877,-2.8307946184859967,"(6.0, 8.0]"
0.8927345646626392,0.6479129372373539,"(4.0, 6.0]"
0.9250373604572748,-2.5502218685003677,"(1.99, 4.0]"
0.9817457525864144,0.0792890023309193,"(1.99, 4.0]"
0.951686059229546,-0.0355839852492454,"(4.0, 6.0]"
0.8311351781311282,-1.8834793240655288,"(4.0, 6.0]"
1.1525708093141198,-2.438308429429121,"(4.0, 6.0]"
