B,A,Y
0.1986643595485068,-0.218384928595448,"(8.791, 11.336]"
0.0575787380836957,-2.7088533911591397,"(3.689, 6.247]"
0.2419380388965924,-1.7814182719764504,"(6.247, 8.791]"
0.0421962943076132,0.3821256015971604,"(11.336, 13.881]"
0.1349438574372756,-2.437943753639487,"(3.689, 6.247]"
0.0714330110450067,0.8270326504702086,"(11.336, 13.881]"
0.1511292934655524,2.5161846629806472,"(11.336, 13.881]"
0.0125784723255768,1.511939717947488,"(11.336, 13.881]"
0.2322724012106304,0.0829618988001912,"(8.791, 11.336]"
0.1503312648878953,0.5533882273660813,"(8.791, 11.336]"
0.1901907952223451,1.2834009862234024,"(8.791, 11.336]"
0.124726991227314,0.3720179536380138,"(8.791, 11.336]"
0.0619826112689498,3.1118641143437213,"(11.336, 13.881]"
0.0032492408912481,-2.768711489351161,"(6.247, 8.791]"
0.2367934050608338,-4.468698772984939,"(3.689, 6.247]"
0.0701618595009655,1.904584593771264,"(11.336, 13.881]"
0.2307679158386729,0.5354577908169065,"(11.336, 13.881]"
0.0520364955713687,-0.7325262963897803,"(8.791, 11.336]"
0.089488719995007,-2.197410456894729,"(3.689, 6.247]"
0.0227421499563162,-1.9706337839266364,"(6.247, 8.791]"
0.1584935407896163,-0.9373256897584112,"(6.247, 8.791]"
0.1523836801541435,2.0724600583248787,"(13.881, 16.425]"
0.0373467767599696,1.7652543396698976,"(11.336, 13.881]"
0.1877909740608679,-1.665247233309394,"(6.247, 8.791]"
0.0378087866160317,1.093701357985378,"(8.791, 11.336]"
0.1804587156976484,0.9732697386592526,"(11.336, 13.881]"
0.2423939340670747,0.3901320755241479,"(11.336, 13.881]"
0.1578001641712929,2.777870485521014,"(13.881, 16.425]"
0.149508317780187,-0.7213899367954271,"(6.247, 8.791]"
0.237067046569279,3.0924195111713795,"(13.881, 16.425]"
0.1082007017526922,-2.189455445001116,"(6.247, 8.791]"
0.1108941012075956,2.3900194290514856,"(11.336, 13.881]"
0.2064931146912198,0.4670190929757639,"(8.791, 11.336]"
0.0514845835919434,2.652158944607793,"(13.881, 16.425]"
0.0519445496575427,0.7291757947008763,"(8.791, 11.336]"
0.0048688209643389,-1.1098842381355405,"(6.247, 8.791]"
0.247623730166222,-0.0585553727162346,"(8.791, 11.336]"
